;new_catwgory;new_original_name;new_name1;new_group_flat1;new_group_huge1;new_group_det1
0;dfeff7b612496042562c8449b8ceaadb;2f910511a2a3a0931ca81653d2d8fbd0;2f910511a2a3a0931ca81653d2d8fbd0;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
1;dfeff7b612496042562c8449b8ceaadb;cf01debfaf10e77486dfa365d2afa338;cf01debfaf10e77486dfa365d2afa338;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
2;dfeff7b612496042562c8449b8ceaadb;257e2bd3dffa7820d1034a5619e419b9;257e2bd3dffa7820d1034a5619e419b9;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
3;dfeff7b612496042562c8449b8ceaadb;d944f82b4b6a9935c5d202640f5a5e87;d944f82b4b6a9935c5d202640f5a5e87;10e98ded02e11a2709575ee66e622262;dd2481f2fb58be035ed3c3ce44e9b112;dd2481f2fb58be035ed3c3ce44e9b112
4;dfeff7b612496042562c8449b8ceaadb;3f86f4e6411f7e562011cf783a2f6660;3f86f4e6411f7e562011cf783a2f6660;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
5;dfeff7b612496042562c8449b8ceaadb;c1025d5212adf2301ef34d8c905b70a8;c1025d5212adf2301ef34d8c905b70a8;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
6;dfeff7b612496042562c8449b8ceaadb;2b9d61bb1dd012d22daa7eee0e8ad2af;2b9d61bb1dd012d22daa7eee0e8ad2af;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
7;dfeff7b612496042562c8449b8ceaadb;43fc95607cf26116b9387e5180fd877b;43fc95607cf26116b9387e5180fd877b;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
8;dfeff7b612496042562c8449b8ceaadb;cd3bc84e1c43e643cf6fc4439209fb4b;cd3bc84e1c43e643cf6fc4439209fb4b;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
9;122d7a5cadd1cba651f6ece7b6538d71;c6e9b6dffada4bb64d74de517fbe9adc;122d7a5cadd1cba651f6ece7b6538d71;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
10;122d7a5cadd1cba651f6ece7b6538d71;08b72e6c0f7a859fbc8e1ffa8afcbb0a;122d7a5cadd1cba651f6ece7b6538d71;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
11;54c1302fb3e8f09987031c40c33ca9ba;fd4c5f4ce4076ea1dd7dbee475567515;54c1302fb3e8f09987031c40c33ca9ba;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
12;54c1302fb3e8f09987031c40c33ca9ba;0dfa80ea8aa13f02db33446dfb57dcef;54c1302fb3e8f09987031c40c33ca9ba;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
13;dfeff7b612496042562c8449b8ceaadb;9f29de9a4d606c5d0e218af4be5bcd78;9f29de9a4d606c5d0e218af4be5bcd78;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
14;dfeff7b612496042562c8449b8ceaadb;aa6deb59993f9e7c072b6ba634f55677;aa6deb59993f9e7c072b6ba634f55677;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
15;dfeff7b612496042562c8449b8ceaadb;fc83ed08e6dda4d6ee1aa9457014fce6;fc83ed08e6dda4d6ee1aa9457014fce6;26405342d7ba197e122ef7d8d39b46ef;dd0c8b3dc3d80ba4b437283b5e3ba7d1;dd0c8b3dc3d80ba4b437283b5e3ba7d1
16;89fd92ada08f1b92ab094ba72d8f45a7;d622e37cc2dc0561f3a3a3ba6c95dd1c;89fd92ada08f1b92ab094ba72d8f45a7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
17;89fd92ada08f1b92ab094ba72d8f45a7;4819fd8e0a91c89303e248127de7501c;89fd92ada08f1b92ab094ba72d8f45a7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
18;89fd92ada08f1b92ab094ba72d8f45a7;04368e97bb3553e1df517fb5042980a2;89fd92ada08f1b92ab094ba72d8f45a7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
19;89fd92ada08f1b92ab094ba72d8f45a7;378aa3a84377a2c25d514fa70c2a4bcd;89fd92ada08f1b92ab094ba72d8f45a7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
20;89fd92ada08f1b92ab094ba72d8f45a7;aa7798056a0c3e04f8fc91878eeeaf6b;89fd92ada08f1b92ab094ba72d8f45a7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
21;ce38d4e6658e70ac2fe3aa68d92cf377;d6e650491222c22d6be76bf70759dc3e;ce38d4e6658e70ac2fe3aa68d92cf377;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
22;ce38d4e6658e70ac2fe3aa68d92cf377;038ef525ef9609a1e477aebb5c7f17d1;ce38d4e6658e70ac2fe3aa68d92cf377;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
23;dfeff7b612496042562c8449b8ceaadb;d30216193ec3ba6256b7dd4aaa850fb1;d30216193ec3ba6256b7dd4aaa850fb1;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
24;dfeff7b612496042562c8449b8ceaadb;d851fa44f81b1f556a06c8a1dc9a9ba7;d851fa44f81b1f556a06c8a1dc9a9ba7;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
25;dfeff7b612496042562c8449b8ceaadb;d8fcab5dac3a7b6642cc96fa606c5b8c;d8fcab5dac3a7b6642cc96fa606c5b8c;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
26;4860201c5d182694cc64ba44eff82598;d1320316a362a1f0d7f810b6625e91b5;4860201c5d182694cc64ba44eff82598;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
27;4860201c5d182694cc64ba44eff82598;208d6130e0b8b955b35422ad882f4ded;4860201c5d182694cc64ba44eff82598;738ff1a53c1cc6e4dd0cf1ec23d57ff3;98af8be95c65b2ec11d32f5ab8747e90;98af8be95c65b2ec11d32f5ab8747e90
28;dfeff7b612496042562c8449b8ceaadb;e8da7791f0ec8d24beec3383106b4f8f;e8da7791f0ec8d24beec3383106b4f8f;a14dc3034bbe7e3fad736e932e556d67;d3f5aea5dcf3a9d2690844411f869901;e8da7791f0ec8d24beec3383106b4f8f
29;dfeff7b612496042562c8449b8ceaadb;a868c15131e8251e15941d66ae5b28ed;a868c15131e8251e15941d66ae5b28ed;a14dc3034bbe7e3fad736e932e556d67;d3f5aea5dcf3a9d2690844411f869901;a868c15131e8251e15941d66ae5b28ed
30;0378d33f1973d239074b29fd9b4b00c3;d8ef8a862ea6e77040cd660ec0d37316;0378d33f1973d239074b29fd9b4b00c3;a14dc3034bbe7e3fad736e932e556d67;d3f5aea5dcf3a9d2690844411f869901;0378d33f1973d239074b29fd9b4b00c3
31;0378d33f1973d239074b29fd9b4b00c3;cb7c19fb6a896a414c256649f7cf4449;0378d33f1973d239074b29fd9b4b00c3;a14dc3034bbe7e3fad736e932e556d67;d3f5aea5dcf3a9d2690844411f869901;0378d33f1973d239074b29fd9b4b00c3
32;dfeff7b612496042562c8449b8ceaadb;208a72dec1c751c96071a45d2c660b7b;208a72dec1c751c96071a45d2c660b7b;a14dc3034bbe7e3fad736e932e556d67;d3f5aea5dcf3a9d2690844411f869901;208a72dec1c751c96071a45d2c660b7b
33;fc94e5b475f42d89ef8f853e86fc9726;199a41d4246ccb1da1ea880163985ca1;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
34;fc94e5b475f42d89ef8f853e86fc9726;50debe59e62d0c33d810892f35115deb;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
35;fc94e5b475f42d89ef8f853e86fc9726;e8519bbf7c85f77c2e2d299e3b8d7253;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
36;fc94e5b475f42d89ef8f853e86fc9726;baac4d54c0327f62c2186aac4d47d44c;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
37;fc94e5b475f42d89ef8f853e86fc9726;67b941994c09f3275e86bf28750f2b0e;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
38;fc94e5b475f42d89ef8f853e86fc9726;0553856720f353bafd892f88444451c6;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
39;fc94e5b475f42d89ef8f853e86fc9726;c012557f8c7a51b22652adf69e39c73e;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
40;fc94e5b475f42d89ef8f853e86fc9726;bcf4cca0c46535262193134f0a1faf81;fc94e5b475f42d89ef8f853e86fc9726;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;fc94e5b475f42d89ef8f853e86fc9726
41;dfeff7b612496042562c8449b8ceaadb;65bed81297681a0063b0adc779aa1187;65bed81297681a0063b0adc779aa1187;57fe61ade6631342bd7bec16cf9dd4f6;464269069c48845f6daccbfddd17de6c;65bed81297681a0063b0adc779aa1187
42;639ff3bf238d692280c19b9e235abdc0;d6f29a2a4498f87e879eb45e410a1afa;639ff3bf238d692280c19b9e235abdc0;da473477e06a6e5656a434041d9ce3de;ff0867fac056fd4a291ca6dcf990961e;639ff3bf238d692280c19b9e235abdc0
43;639ff3bf238d692280c19b9e235abdc0;a324f33b709ab1b16097c401e2101ba9;639ff3bf238d692280c19b9e235abdc0;da473477e06a6e5656a434041d9ce3de;ff0867fac056fd4a291ca6dcf990961e;639ff3bf238d692280c19b9e235abdc0
44;dfeff7b612496042562c8449b8ceaadb;11d3e8ebe89c33dd5e8e7aac3a9eb5ef;11d3e8ebe89c33dd5e8e7aac3a9eb5ef;da473477e06a6e5656a434041d9ce3de;ff0867fac056fd4a291ca6dcf990961e;11d3e8ebe89c33dd5e8e7aac3a9eb5ef
45;dfeff7b612496042562c8449b8ceaadb;33d1e243f1b88b31451c9d5171408873;33d1e243f1b88b31451c9d5171408873;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;166442288fb80290ea6c90a4fea6b0b9
46;166442288fb80290ea6c90a4fea6b0b9;04e1567df554a2a745d991af21b8c78b;166442288fb80290ea6c90a4fea6b0b9;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;166442288fb80290ea6c90a4fea6b0b9
47;166442288fb80290ea6c90a4fea6b0b9;51b8b5fa79a819d85be6fc09163ed601;166442288fb80290ea6c90a4fea6b0b9;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;166442288fb80290ea6c90a4fea6b0b9
48;166442288fb80290ea6c90a4fea6b0b9;2336515e2a0e8cd52f38185206dec848;166442288fb80290ea6c90a4fea6b0b9;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;166442288fb80290ea6c90a4fea6b0b9
49;dfeff7b612496042562c8449b8ceaadb;a6e1469c405573ea2c3eb801b1560044;a6e1469c405573ea2c3eb801b1560044;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;a6e1469c405573ea2c3eb801b1560044
50;dfeff7b612496042562c8449b8ceaadb;1b399829c494969501700e0a0283c9db;1b399829c494969501700e0a0283c9db;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;1b399829c494969501700e0a0283c9db
51;dfeff7b612496042562c8449b8ceaadb;666f4ef4908a1527f2bbb4738363173b;666f4ef4908a1527f2bbb4738363173b;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;666f4ef4908a1527f2bbb4738363173b
52;dfeff7b612496042562c8449b8ceaadb;eb7a54118a9a0d3a81d70cf9996d253d;eb7a54118a9a0d3a81d70cf9996d253d;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;eb7a54118a9a0d3a81d70cf9996d253d
53;dfeff7b612496042562c8449b8ceaadb;d347ad6e02cc694664118cb80533c043;d347ad6e02cc694664118cb80533c043;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;d347ad6e02cc694664118cb80533c043
54;dfeff7b612496042562c8449b8ceaadb;9acea6e0cea531322cdec5f539fb60f6;9acea6e0cea531322cdec5f539fb60f6;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;9acea6e0cea531322cdec5f539fb60f6
55;dfeff7b612496042562c8449b8ceaadb;d7c2f565c6a1f384d331df67476e35f4;d7c2f565c6a1f384d331df67476e35f4;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;d7c2f565c6a1f384d331df67476e35f4
56;dfeff7b612496042562c8449b8ceaadb;1a137a7295ba0ec71040043eafdc9b9e;1a137a7295ba0ec71040043eafdc9b9e;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;1a137a7295ba0ec71040043eafdc9b9e
57;dfeff7b612496042562c8449b8ceaadb;e08b8215e841d66b32c4ec10d055ea41;e08b8215e841d66b32c4ec10d055ea41;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;e08b8215e841d66b32c4ec10d055ea41
58;dfeff7b612496042562c8449b8ceaadb;6e2f0cd9a31187ac80418b4d129c76e9;6e2f0cd9a31187ac80418b4d129c76e9;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;6e2f0cd9a31187ac80418b4d129c76e9
59;dfeff7b612496042562c8449b8ceaadb;c446305c3e1a16e690b15216154cff2c;c446305c3e1a16e690b15216154cff2c;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;c446305c3e1a16e690b15216154cff2c
60;dfeff7b612496042562c8449b8ceaadb;b4d59141b13368f1edb41f8f55b5ea01;b4d59141b13368f1edb41f8f55b5ea01;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;b4d59141b13368f1edb41f8f55b5ea01
61;dfeff7b612496042562c8449b8ceaadb;9089ce6e04380e2752201fa0a614a83a;9089ce6e04380e2752201fa0a614a83a;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;9089ce6e04380e2752201fa0a614a83a
62;dfeff7b612496042562c8449b8ceaadb;31be54e200fd95fb5c7133166b6fff08;31be54e200fd95fb5c7133166b6fff08;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;31be54e200fd95fb5c7133166b6fff08
63;dfeff7b612496042562c8449b8ceaadb;25ab0b6137c0f50781bb48763bd083da;25ab0b6137c0f50781bb48763bd083da;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;25ab0b6137c0f50781bb48763bd083da
64;dfeff7b612496042562c8449b8ceaadb;512e16a10b407a0378b6360e8b74610c;512e16a10b407a0378b6360e8b74610c;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;512e16a10b407a0378b6360e8b74610c
65;dfeff7b612496042562c8449b8ceaadb;e4098f439a39cb360a8e758c0ac36b6f;e4098f439a39cb360a8e758c0ac36b6f;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;e4098f439a39cb360a8e758c0ac36b6f
66;dfeff7b612496042562c8449b8ceaadb;85c5aaae29936ee34358b3ccdb6567b8;85c5aaae29936ee34358b3ccdb6567b8;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;85c5aaae29936ee34358b3ccdb6567b8
67;dfeff7b612496042562c8449b8ceaadb;d9320b25649f4c1f369cd76b644666f1;d9320b25649f4c1f369cd76b644666f1;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;d9320b25649f4c1f369cd76b644666f1
68;dfeff7b612496042562c8449b8ceaadb;69314d23d8f01fd6d05cc4a4c0c3e36c;69314d23d8f01fd6d05cc4a4c0c3e36c;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;69314d23d8f01fd6d05cc4a4c0c3e36c
69;dfeff7b612496042562c8449b8ceaadb;f4e7d8261dd923f1e955f3e1e150fd82;f4e7d8261dd923f1e955f3e1e150fd82;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;f4e7d8261dd923f1e955f3e1e150fd82
70;dfeff7b612496042562c8449b8ceaadb;06cdf2ad5dca9f2c9f451e57a9d41e4f;06cdf2ad5dca9f2c9f451e57a9d41e4f;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;06cdf2ad5dca9f2c9f451e57a9d41e4f
71;dfeff7b612496042562c8449b8ceaadb;12f84ead78cef4495d33d90ca4b6f341;12f84ead78cef4495d33d90ca4b6f341;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;12f84ead78cef4495d33d90ca4b6f341
72;82cd910226e6ac7cb342019600313982;1b17530b1d1d67e7e4ace3a596b502ee;82cd910226e6ac7cb342019600313982;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;82cd910226e6ac7cb342019600313982
73;82cd910226e6ac7cb342019600313982;e9b7bb35c871761c296a52df145984cf;82cd910226e6ac7cb342019600313982;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;82cd910226e6ac7cb342019600313982
74;dfeff7b612496042562c8449b8ceaadb;b24860c892f4ff9d117a4474cf76a915;b24860c892f4ff9d117a4474cf76a915;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;b24860c892f4ff9d117a4474cf76a915
75;dfeff7b612496042562c8449b8ceaadb;662d32a2c7e379b4c16b6d73a7aa824a;662d32a2c7e379b4c16b6d73a7aa824a;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;662d32a2c7e379b4c16b6d73a7aa824a
76;dfeff7b612496042562c8449b8ceaadb;b71ed39d135a298f0255c0eb56363825;b71ed39d135a298f0255c0eb56363825;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;b71ed39d135a298f0255c0eb56363825
77;dfeff7b612496042562c8449b8ceaadb;b222dad88024e2f8e951f9bf2e54d1c5;b222dad88024e2f8e951f9bf2e54d1c5;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;b222dad88024e2f8e951f9bf2e54d1c5
78;dfeff7b612496042562c8449b8ceaadb;c461da098a0c512e70e5c3ac1289ccbb;c461da098a0c512e70e5c3ac1289ccbb;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;c461da098a0c512e70e5c3ac1289ccbb
79;dfeff7b612496042562c8449b8ceaadb;594dc81a712fc9777aeab0e61f8d31a3;594dc81a712fc9777aeab0e61f8d31a3;e8149b44850ae0e4393b0dc3447ce642;56ac62f464a9ccba22a03fc7ba96b307;594dc81a712fc9777aeab0e61f8d31a3
80;dfeff7b612496042562c8449b8ceaadb;233cdd3cbc49d7487225148f1cdd9709;233cdd3cbc49d7487225148f1cdd9709;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
81;dfeff7b612496042562c8449b8ceaadb;0a9a055bae8f0202f83fd515bdc737fb;0a9a055bae8f0202f83fd515bdc737fb;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
82;050d9fb16c0481ba6df002fba54105e8;7b5c6c20589ac7761e27342da8debc2b;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
83;050d9fb16c0481ba6df002fba54105e8;d8edf0b4fabf09eb9254d6b893cbe380;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
84;050d9fb16c0481ba6df002fba54105e8;01f4eb2ffb9a92692f88330227c366dd;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
85;050d9fb16c0481ba6df002fba54105e8;5abfcf40fa08fcde6d92fea11a34226b;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
86;050d9fb16c0481ba6df002fba54105e8;47f6c6cb1a2710c3e9d9e0ca827a942c;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
87;050d9fb16c0481ba6df002fba54105e8;1b51b9d2b702af5be955e811b9bda9f1;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
88;050d9fb16c0481ba6df002fba54105e8;2aa4b3f9725256a6b457ab471814f9e0;050d9fb16c0481ba6df002fba54105e8;5f4b1057ffacdc216803c57404c3910a;a7e707ec6a774d4367ab79b63f29a0a0;050d9fb16c0481ba6df002fba54105e8
89;dfeff7b612496042562c8449b8ceaadb;d452f97faea0c996e95a031abc745cb4;d452f97faea0c996e95a031abc745cb4;c6fd71a5e98cc76c9ad63237293c89de;96e019f72a7d753f47b03987dc4d6a18;96e019f72a7d753f47b03987dc4d6a18
90;dfeff7b612496042562c8449b8ceaadb;c285219baf23d35dd7989bb6c970be71;c285219baf23d35dd7989bb6c970be71;c6fd71a5e98cc76c9ad63237293c89de;96e019f72a7d753f47b03987dc4d6a18;96e019f72a7d753f47b03987dc4d6a18
91;dfeff7b612496042562c8449b8ceaadb;bf464ded15de786ad78cb7a93b8971e2;bf464ded15de786ad78cb7a93b8971e2;c6fd71a5e98cc76c9ad63237293c89de;96e019f72a7d753f47b03987dc4d6a18;96e019f72a7d753f47b03987dc4d6a18
92;dfeff7b612496042562c8449b8ceaadb;827f6f09680083b76cf947cad013c8fa;827f6f09680083b76cf947cad013c8fa;c6fd71a5e98cc76c9ad63237293c89de;96e019f72a7d753f47b03987dc4d6a18;96e019f72a7d753f47b03987dc4d6a18
